name,address,postal_code,phone,rating,review_count,cuisine_type,business_hours,website,latitude,longitude,scraped_at
Hotel Barcelona Universal,"Av. del Paral·lel, 76-80, Ciutat Vella, 08001 Barcelona, Spain",08001,935 67 74 47,4.4,2764.0,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.hotelbarcelonauniversal.com/,41.37523849999999,2.1683286,2025-06-25 14:11:07.958704
Hotel Pulitzer,"Carrer de Bergara, 8, L'Eixample, 08002 Barcelona, Spain",08001,934 81 67 67,4.4,1833.0,Restaurante,,http://www.hotelpulitzer.es/?utm_source=gmb&utm_medium=organic,41.3860704,2.1683553,2025-06-25 14:11:08.213229
Grand Hotel Central,"Via Laietana, 30, Ciutat Vella, 08003 Barcelona, Spain",08001,932 95 79 00,4.5,1563.0,Restaurante,,http://www.grandhotelcentral.com/en/?source=google&medium=organic&campaign=google-my-business,41.3849706,2.1777654,2025-06-25 14:11:08.711873
Gallery Hotel,"Carrer del Rosselló, 249, Eixample, 08008 Barcelona, Spain",08001,934 15 99 11,4.4,2140.0,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.galleryhotel.com/?utm_source=gmb&utm_medium=organic,41.3951333,2.1591838,2025-06-25 14:11:09.294518
Hotel Hesperia Presidente Barcelona,"Av. Diagonal, 570, Sarrià-Sant Gervasi, 08021 Barcelona, Spain",08001,932 00 21 11,4.4,2125.0,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.hesperia.com/es/hoteles/espana/barcelona/hotel-hesperia-presidente?utm_source=GMBpresidente&utm_medium=organic,41.394198,2.1490179,2025-06-25 14:11:09.566697
Sallès Hotel Pere IV,"Carrer de Pallars, 128, Sant Martí, 08018 Barcelona, Spain",08001,933 20 96 50,4.0,2471.0,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.hotelpereiv.com/?utm_source=google&utm_medium=organic&utm_campaign=my_business,41.3969121,2.1923528,2025-06-25 14:11:09.941354
Tàmara | Barcelona,"C/ de Muntaner, 178, L'Eixample, 08036 Barcelona, Spain",08001,685 11 75 43,3.9,1411.0,Restaurante,"{'day_0': 'Monday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'day_1': 'Tuesday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'day_2': 'Wednesday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'day_3': 'Thursday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'day_4': 'Friday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'day_5': 'Saturday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'day_6': 'Sunday: 7:00\u202fAM\u2009–\u200911:30\u202fPM'}",https://www.tamararestaurant.es/,41.3922,2.1524,2025-06-25 14:11:10.556887
Thai Barcelona,"Carrer de la Diputació, 273, L'Eixample, 08007 Barcelona, Spain",08001,934 87 98 98,4.2,4302.0,Restaurante,"{'day_0': 'Monday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'day_1': 'Tuesday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'day_2': 'Wednesday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'day_3': 'Thursday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'day_4': 'Friday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200911:00\u202fPM', 'day_5': 'Saturday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200911:00\u202fPM', 'day_6': 'Sunday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM'}",http://www.thaibarcelona.es/,41.3910391,2.1676872,2025-06-25 14:11:11.003521
Hotel Constanza,"Carrer del Bruc, 33, L'Eixample, 08010 Barcelona, Spain",08001,932 70 19 10,4.4,883.0,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",http://hotelconstanza.com/,41.391559,2.1728625,2025-06-25 14:11:11.522170
ÁNDELE Santa Fe,"Carrer de Santa Fe de Nou Mèxic, 6, Sarrià-Sant Gervasi, 08017 Barcelona, Spain",08001,932 01 42 77,4.2,3550.0,Restaurante,"{'day_0': 'Monday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'day_1': 'Tuesday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'day_2': 'Wednesday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'day_3': 'Thursday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'day_4': 'Friday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_5': 'Saturday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_6': 'Sunday: 1:00\u2009–\u200911:30\u202fPM'}",http://www.andele.es/,41.3938386,2.1361458,2025-06-25 14:11:11.863872
Olívia Plaza Hotel,"Pl. de Catalunya, 19, Ciutat Vella, 08002 Barcelona, Spain",08001,933 16 87 00,4.5,1668.0,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.oliviaplazahotel.com/ca/,41.3861894,2.1711552,2025-06-25 14:11:12.088795
Hotel Ohla Barcelona,"Via Laietana, 49, Ciutat Vella, 08003 Barcelona, Spain",08001,933 41 50 50,4.6,1715.0,Restaurante,,https://www.ohlabarcelona.com/en/?partner=11673&utm_source=google&utm_medium=organic&utm_campaign=MyBusiness,41.3870228,2.1742885,2025-06-25 14:11:12.334690
Pizzeria Da Nanni | Born,"Carrer del Rec, 30, Ciutat Vella, 08003 Barcelona, Spain",08001,933 19 79 73,4.0,2575.0,Restaurante,"{'day_0': 'Monday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_1': 'Tuesday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_2': 'Wednesday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_3': 'Thursday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_4': 'Friday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_5': 'Saturday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_6': 'Sunday: 1:00\u202fPM\u2009–\u200912:00\u202fAM'}",https://www.dananni.es/,41.3852732,2.1826869,2025-06-25 14:11:12.593006
La Vietnamita | Gràcia,"Carrer del Torrent de l'Olla, 78, Gràcia, 08012 Barcelona, Spain",08001,935 18 18 03,4.3,2591.0,Restaurante,"{'day_0': 'Monday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'day_1': 'Tuesday: 1:00\u2009–\u20094:00\u202fPM, 9:00\u2009–\u200911:00\u202fPM', 'day_2': 'Wednesday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'day_3': 'Thursday: 1:00\u2009–\u20094:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'day_4': 'Friday: 1:00\u2009–\u20094:30\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_5': 'Saturday: 1:00\u2009–\u20094:30\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_6': 'Sunday: 1:00\u2009–\u20094:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM'}",http://www.lavietnamita.com/,41.40076,2.1590857,2025-06-25 14:11:13.079326
Hotel ILUNION Almirante,"Calle, Via Laietana, 42, Ciutat Vella, 08003 Barcelona, Spain",08001,932 68 30 20,3.6,1274.0,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.ilunionalmirante.com/?partner=5989&utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness&utm_content=almirante,41.3860321,2.176199,2025-06-25 14:11:13.554709
Catalonia Rigoletto,"Carrer de Sabino Arana, 22, 24, Les Corts, 08028 Barcelona, Spain",08001,933 39 19 99,4.3,959.0,Restaurante,,https://www.cataloniahotels.com/es/hotel/catalonia-rigoletto?mb=1,41.385663,2.1255729,2025-06-25 14:11:14.110292
Hotel Barcelona Catedral,"Carrer dels Capellans, 4, Ciutat Vella, 08002 Barcelona, Spain",08001,933 04 22 55,4.3,1119.0,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",http://www.barcelonacatedral.com/,41.384812,2.1751122,2025-06-25 14:11:14.532266
Hotel Cram Barcelona,"Carrer d'Aribau, 54, L'Eixample, 08011 Barcelona, Spain",08001,932 16 77 00,4.1,867.0,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",http://www.hotelcram.com/,41.3880775,2.1599514,2025-06-25 14:11:15.049613
