name,address,postal_code,phone,rating,review_count,cuisine_type,business_hours,website,latitude,longitude,scraped_at
The Magic Time Machine,"5003 Belt Line Rd, Dallas, TX 75254, USA",75001,(972) 980-1903,4.2,4060,Restaurante,"{'day_0': 'Monday: 5:00\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 5:00\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 5:00\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 5:00\u2009–\u200910:00\u202fPM', 'day_4': 'Friday: 4:00\u2009–\u200910:30\u202fPM', 'day_5': 'Saturday: 4:00\u2009–\u200910:30\u202fPM', 'day_6': 'Sunday: 4:00\u2009–\u20099:00\u202fPM'}",http://www.magictimemachine.com/,32.9546338,-96.825299,2025-06-25 14:24:09.975550
Texas de Brazil - Addison,"15101 Addison Rd, Addison, TX 75001, USA",75001,(972) 385-4350,4.5,4954,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'day_5': 'Saturday: 11:30\u202fAM\u2009–\u20093:30\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'day_6': 'Sunday: 11:30\u202fAM\u2009–\u20093:30\u202fPM, 4:00\u2009–\u20099:00\u202fPM'}",https://texasdebrazil.com/locations/addison/?utm_source=gmb&utm_medium=yext&y_source=1_NDg4MzA3MDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,32.95463,-96.83027799999999,2025-06-25 14:24:10.417802
Blue Mesa Grill,"14866 Montfort Dr, Dallas, TX 75254, USA",75001,(972) 934-0165,4.3,2514,Restaurante,"{'day_0': 'Monday: Closed', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_5': 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_6': 'Sunday: 9:30\u202fAM\u2009–\u20095:00\u202fPM'}",https://bluemesagrill.com/,32.9512829,-96.8180653,2025-06-25 14:24:10.988768
Gloria's Latin Cuisine,"5100 Belt Line Rd Suite 864, Addison, TX 75254, USA",75001,(972) 387-8442,4.5,4926,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM'}",https://gloriascuisine.com/locations/addison.html?utm_source=google&utm_medium=Yext&y_source=1_MjA1ODAzNDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,32.9518203,-96.82193110000001,2025-06-25 14:24:11.547484
Bowlero Dallas,"3805 Belt Line Rd, Addison, TX 75001, USA",75001,(972) 620-7700,4.2,1841,Restaurante,"{'day_0': 'Monday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_1': 'Tuesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_2': 'Wednesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_3': 'Thursday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_4': 'Friday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u200912:00\u202fAM'}",https://www.bowlero.com/location/bowlero-dallas,32.9551332,-96.85047039999999,2025-06-25 14:24:12.043942
BJ's Restaurant & Brewhouse,"4901 Belt Line Rd, Dallas, TX 75254, USA",75001,(972) 392-4600,4.2,2460,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u200911:00\u202fPM'}",https://www.bjsrestaurants.com/locations/tx/addison?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,32.9546649,-96.82802369999999,2025-06-25 14:24:12.505768
Kenny's Wood Fired Grill,"5000 Belt Line Rd Suite 775, Dallas, TX 75254, USA",75001,(972) 392-9663,4.7,3831,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM'}",http://www.kennyswoodfiredgrill.com/,32.9533806,-96.8236567,2025-06-25 14:24:12.975758
Ruth's Chris Steak House,"17840 Dallas Pkwy, Dallas, TX 75287, USA",75001,(972) 250-2244,4.6,2923,Restaurante,"{'day_0': 'Monday: 4:00\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 4:00\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 4:00\u2009–\u200910:00\u202fPM', 'day_4': 'Friday: 4:00\u2009–\u200910:30\u202fPM', 'day_5': 'Saturday: 4:00\u2009–\u200910:30\u202fPM', 'day_6': 'Sunday: 4:00\u2009–\u20099:00\u202fPM'}",https://www.ruthschris.com/locations/tx/dallas/dallas/7312?cmpid=br:rc_ag:ie_ch:loc_ca:RCGMB_sn:gmb_gt:dallas-tx-7312_pl:locurl_rd:1027,32.9933206,-96.8285265,2025-06-25 14:24:13.548300
Buffalo Wild Wings,"5000 Belt Line Rd #100, Dallas, TX 75254, USA",75001,(972) 701-9464,3.8,2089,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u200912:00\u202fAM'}",https://www.buffalowildwings.com/locations/us/tx/dallas/5000-belt-line-rd/sports-bar-78?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,32.9534684,-96.8255793,2025-06-25 14:24:14.050760
Pappadeaux Seafood Kitchen,"18349 Dallas Pkwy, Dallas, TX 75287, USA",75001,(972) 447-9616,4.5,6549,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM'}",https://pappadeaux.com/,32.9991724,-96.8303742,2025-06-25 14:24:14.542936
